TASK	22135	1	0	0	0	0	0	0.06640395800000001	-	COMPLETE
TASK	29206	36757934	81	81	33151314	75768957	39381227	0.413785917	-	COMPLETE
TASK	29550	7388187	42	42	7111709	14493299	7208555	0.11753862500000001	-	COMPLETE
TASK	34230	15289948	42	42	14892283	29933255	14818945	0.2180471249999999	-	COMPLETE
TASK	52719	5367171	29	29	4856359	11148252	5841641	0.10618158299999991	-	COMPLETE
TASK	55989	73356493	132	132	74292646	142327259	69756351	0.8214813329999999	-	COMPLETE
TASK	57995	1	0	0	0	0	0	0.03802529199999993	-	COMPLETE
TASK	65039	37717020	275	275	34477253	76833946	39524732	0.488210209	-	COMPLETE
TASK	77765	8259132	10	10	7747633	16559942	8414289	0.14138133400000008	-	COMPLETE
TASK	77852	2	0	0	0	0	0	0.03845379100000024	-	COMPLETE
TASK	84933	81389738	124	124	75202706	168080586	87458373	0.9713338330000001	-	COMPLETE
TASK	91122	14274108	37	37	13193580	29050603	14919966	0.21480408299999976	-	COMPLETE
TASK	116755	58281031	115	115	52454179	119851867	62235820	0.6882570000000006	-	COMPLETE
TASK	118731	7832187	13	13	6994329	16273648	8520080	0.11828166699999976	-	COMPLETE
TASK	140716	14515970	53	53	13858066	28706676	14364880	0.1913929999999997	-	COMPLETE
TASK	144124	6537584	5	5	6185624	13044494	6593197	0.09927216600000044	-	COMPLETE
TASK	153516	54923101	270	270	51224662	110495583	56212821	0.6199108750000004	-	COMPLETE
TASK	155100	77159499	109	109	69771063	159944298	83473315	0.981855125	-	COMPLETE
TASK	157142	51606987	140	140	49775543	103381720	52257353	0.6056292079999999	-	COMPLETE
TASK	158344	23911511	94	94	22211591	47732363	24156639	0.2885627909999995	-	COMPLETE
TASK	158432	14788426	26	26	13384786	30098351	15508937	0.1928671660000001	-	COMPLETE
TASK	165233	1	0	0	0	0	0	0.03333316699999944	-	COMPLETE
TASK	170758	57130766	164	164	53236785	115674140	59168211	0.6623774159999991	-	COMPLETE
TASK	171099	47511399	181	181	48829217	91916048	44875089	0.5892759170000001	-	COMPLETE
TASK	178280	70505292	105	105	61467822	147664777	77923184	0.7604371249999993	-	COMPLETE
TASK	178835	20294046	51	51	20912738	39653939	19571680	0.259110291999999	-	COMPLETE
TASK	180369	40606226	95	95	37811233	81922415	41824589	0.5122780420000002	-	COMPLETE
TASK	184982	25406029	23	23	22902921	51740769	26671390	0.31844737499999987	-	COMPLETE
TASK	200707	50707277	91	91	45086502	103640425	53617733	0.5760365839999988	-	COMPLETE
TASK	202262	3541000	9	9	3261331	7149119	3639856	0.08370158399999994	-	COMPLETE
TASK	211351	6873261	1	1	6130494	14007124	7251997	0.10695270799999967	-	COMPLETE
TASK	214721	127006252	146	146	109825936	269937053	144335676	1.4607017080000002	-	COMPLETE
TASK	222948	29585045	16	16	25208315	62323760	33055502	0.37075145900000095	-	COMPLETE
TASK	223944	29461090	37	37	26466523	61286650	32161965	0.3604692079999996	-	COMPLETE
TASK	223971	38731896	54	54	34084614	79421600	41221432	0.47002958399999883	-	COMPLETE
TASK	252142	1	0	0	0	0	0	0.03314149999999927	-	COMPLETE
TASK	256489	4087373	4	4	3845748	8176861	4136371	0.07552920900000082	-	COMPLETE
TASK	260260	9920118	30	30	8688161	20532119	10738893	0.1455474169999995	-	COMPLETE
TASK	268032	1	0	0	0	0	0	0.03497024999999887	-	COMPLETE
TASK	276194	79990713	114	114	73707817	163426645	84189361	0.892558417	-	COMPLETE
TASK	284185	1	0	0	0	0	0	0.03153933299999956	-	COMPLETE
TASK	286211	13643800	8	8	12852768	27075652	13624332	0.17092691699999918	-	COMPLETE
TASK	287025	15264505	31	31	13977309	30551247	15519622	0.2227907499999997	-	COMPLETE
TASK	291555	56530697	105	105	50110267	116099480	60284703	0.6714035000000003	-	COMPLETE
TASK	291657	21144262	53	53	18552172	43713071	22838367	0.24267666700000134	-	COMPLETE
TASK	310278	63209695	37	37	54116043	133385231	70847108	0.670772000000003	-	COMPLETE
TASK	316195	36525132	46	46	31093714	76932894	40812105	0.4480267910000002	-	COMPLETE
TASK	318312	249921858	421	421	205764094	541882287	293976164	2.7943342499999986	-	COMPLETE
TASK	318375	1	0	0	0	0	0	0.03515595800000071	-	COMPLETE
TASK	318386	2335416	8	8	2019651	4837327	2531094	0.05898941699999938	-	COMPLETE
TASK	340658	2947192	10	10	2608904	6028142	3130623	0.0692541250000005	-	COMPLETE
TASK	343629	22435150	20	20	20033953	46701053	24480703	0.2725433750000015	-	COMPLETE
TASK	346541	11893561	17	17	10237721	25018259	13255070	0.1706846249999998	-	COMPLETE
TASK	349065	75717864	78	78	61422401	165267356	90270576	0.9739533330000008	-	COMPLETE
TASK	361273	34127237	58	58	29013419	72886457	39121128	0.4171801670000015	-	COMPLETE
TASK	364398	2	0	0	0	0	0	0.034742333000000514	-	COMPLETE
TASK	370088	39564453	31	31	33674125	82911371	43847065	0.45819308400000125	-	COMPLETE
TASK	371486	48126170	58	58	42031086	99665393	52156787	0.5872784580000001	-	COMPLETE
TASK	386278	2	0	0	0	0	0	0.03512045800000152	-	COMPLETE
TASK	400923	10239544	17	17	8950549	21452131	11338582	0.13975483400000144	-	COMPLETE
TASK	419102	9851904	9	9	8609945	20503485	10785119	0.1437282080000024	-	COMPLETE
TASK	422565	24856475	39	39	22319054	51199053	26638726	0.3144507499999989	-	COMPLETE
TASK	428956	4851690	8	8	4911551	9395863	4618677	0.0828044580000018	-	COMPLETE
TASK	430787	19184754	23	23	16643563	40013460	21071907	0.23609504199999876	-	COMPLETE
TASK	440424	1	0	0	0	0	0	0.035749374999998196	-	COMPLETE
TASK	451145	34157668	95	95	30617362	70060117	36272122	0.39500616599999816	-	COMPLETE
TASK	455515	1	0	0	0	0	0	0.029654624999999157	-	COMPLETE
TASK	470640	15431742	28	28	14174405	30913433	15650308	0.20784133299999752	-	COMPLETE
TASK	472568	90666963	167	167	77242626	193158463	103308512	1.0074882500000015	-	COMPLETE
TASK	474537	67179723	124	124	57605263	142668330	75949179	0.7727227909999996	-	COMPLETE
TASK	478562	73339760	88	88	65339456	152551128	79917873	0.8037654999999972	-	COMPLETE
TASK	482470	42724168	145	145	36891395	89410300	47090663	0.48732249999999766	-	COMPLETE
TASK	501369	5785149	6	6	4889933	12154041	6436143	0.09440933299999799	-	COMPLETE
TASK	502658	28780343	22	22	25280249	59373238	30966200	0.37367425000000054	-	COMPLETE
TASK	514540	56167343	111	111	51088330	114375179	58852213	0.7089541250000018	-	COMPLETE
TASK	541084	29383214	64	64	26179051	59870790	30848049	0.3808823340000025	-	COMPLETE
TASK	546260	65450097	135	135	59917438	133904432	69194940	0.7634041670000009	-	COMPLETE
TASK	562230	61962003	188	188	57885898	126720757	65314171	0.7117625839999988	-	COMPLETE
TASK	574594	40786954	22	22	37355657	83062209	42760337	0.5137049170000019	-	COMPLETE
TASK	575160	72386861	181	181	66227342	148742597	77047584	0.7939527079999991	-	COMPLETE
TASK	579173	49975149	221	221	44751596	102810124	53403734	0.5008912089999953	-	COMPLETE
TASK	598354	64384043	146	146	57881548	132218446	68490280	0.6560728749999996	-	COMPLETE
TASK	599465	79965245	196	196	72852959	162516175	83547500	0.8005877910000052	-	COMPLETE
TASK	606316	89124183	211	211	79729583	184908971	96578207	0.8963955830000003	-	COMPLETE
TASK	615462	6835900	11	11	6256376	13952990	7191909	0.09805995800000034	-	COMPLETE
TASK	616056	184434781	91	91	171266832	390453982	208128609	1.8868299160000035	-	COMPLETE
TASK	621477	28420320	34	34	26287354	57241788	29223577	0.3259188749999993	-	COMPLETE
TASK	629822	13725972	15	15	11909552	29337094	15758298	0.15783345799999893	-	COMPLETE
TASK	653542	13196223	16	16	12321757	26183916	13192193	0.16052970900000219	-	COMPLETE
TASK	657658	52706089	121	121	48268302	107857655	55678424	0.5239453750000038	-	COMPLETE
TASK	676864	45839120	82	82	40202466	95251277	49917944	0.48874800000000107	-	COMPLETE
TASK	677517	16419479	45	45	15321299	32811815	16620069	0.18426879100000093	-	COMPLETE
TASK	686449	8781878	13	13	7983914	17831282	9161640	0.11563691699999623	-	COMPLETE
TASK	688519	35890486	56	56	31637482	75802044	40231949	0.3667432909999988	-	COMPLETE
TASK	692007	5144555	18	18	5043330	10102242	5017108	0.08604337499999559	-	COMPLETE
TASK	706632	15865569	78	78	14851917	31956228	16271663	0.1826288749999989	-	COMPLETE
TASK	711929	52623008	151	151	50305955	104634625	52648417	0.5359203340000036	-	COMPLETE
TASK	716101	29162226	93	93	27612142	58959108	30079610	0.297995874999998	-	COMPLETE
